# ts_ms	idx	fc_type	fc_subtype	len	alive	poc
1780261093120	0	0	0x08	101	1	-
1780261093120	1	0	0x08	101	1	-
1780261093120	2	0	0x08	348	1	-
1780261093120	3	0	0x08	111	1	-
1780261093120	4	0	0x08	91	1	-
1780261093120	5	0	0x08	111	1	-
1780261093120	6	0	0x0b	48	1	-
1780261093120	7	0	0x0b	48	1	-
1780261093120	8	0	0x0b	287	1	-
1780261093120	9	0	0x0b	66	1	-
1780261093120	10	0	0x0b	30	1	-
1780261093120	11	0	0x0b	58	1	-
1780261093120	12	0	0x00	80	1	-
1780261093120	13	0	0x00	80	1	-
1780261093120	14	0	0x00	327	1	-
1780261093120	15	0	0x00	90	1	-
1780261093121	16	0	0x00	70	1	-
1780261093121	17	0	0x00	90	1	-
1780261093131	0	0	0x08	101	1	-
1780261093131	1	0	0x08	101	1	-
1780261093131	2	0	0x08	348	1	-
1780261093131	3	0	0x08	111	1	-
1780261093131	4	0	0x08	91	1	-
1780261093131	5	0	0x08	111	1	-
1780261093131	6	0	0x0b	48	1	-
1780261093131	7	0	0x0b	48	1	-
1780261093131	8	0	0x0b	287	1	-
1780261093131	9	0	0x0b	66	1	-
1780261093131	10	0	0x0b	30	1	-
1780261093131	11	0	0x0b	58	1	-
1780261093131	12	0	0x00	80	1	-
1780261093131	13	0	0x00	80	1	-
1780261093131	14	0	0x00	327	1	-
1780261093131	15	0	0x00	90	1	-
1780261093131	16	0	0x00	70	1	-
1780261093131	17	0	0x00	90	1	-
1780261093141	0	0	0x08	101	1	-
1780261093141	1	0	0x08	101	1	-
1780261093141	2	0	0x08	348	1	-
1780261093141	3	0	0x08	111	1	-
1780261093141	4	0	0x08	91	1	-
1780261093141	5	0	0x08	111	1	-
1780261093141	6	0	0x0b	48	1	-
1780261093141	7	0	0x0b	48	1	-
1780261093141	8	0	0x0b	287	1	-
1780261093141	9	0	0x0b	66	1	-
1780261093141	10	0	0x0b	30	1	-
1780261093141	11	0	0x0b	58	1	-
1780261093141	12	0	0x00	80	1	-
1780261093141	13	0	0x00	80	1	-
1780261093141	14	0	0x00	327	1	-
1780261093141	15	0	0x00	90	1	-
1780261093141	16	0	0x00	70	1	-
1780261093141	17	0	0x00	90	1	-
1780261093152	0	0	0x08	101	1	-
1780261093152	1	0	0x08	101	1	-
1780261093152	2	0	0x08	348	1	-
1780261093152	3	0	0x08	111	1	-
1780261093152	4	0	0x08	91	1	-
1780261093152	5	0	0x08	111	1	-
1780261093152	6	0	0x0b	48	1	-
1780261093152	7	0	0x0b	48	1	-
1780261093152	8	0	0x0b	287	1	-
1780261093152	9	0	0x0b	66	1	-
1780261093152	10	0	0x0b	30	1	-
1780261093152	11	0	0x0b	58	1	-
1780261093152	12	0	0x00	80	1	-
1780261093152	13	0	0x00	80	1	-
1780261093152	14	0	0x00	327	1	-
1780261093152	15	0	0x00	90	1	-
1780261093152	16	0	0x00	70	1	-
1780261093152	17	0	0x00	90	1	-
1780261093162	0	0	0x08	101	1	-
1780261093162	1	0	0x08	101	1	-
1780261093162	2	0	0x08	348	1	-
1780261093162	3	0	0x08	111	1	-
1780261093162	4	0	0x08	91	1	-
1780261093162	5	0	0x08	111	1	-
1780261093162	6	0	0x0b	48	1	-
1780261093162	7	0	0x0b	48	1	-
1780261093162	8	0	0x0b	287	1	-
1780261093162	9	0	0x0b	66	1	-
1780261093162	10	0	0x0b	30	1	-
1780261093162	11	0	0x0b	58	1	-
1780261093162	12	0	0x00	80	1	-
1780261093162	13	0	0x00	80	1	-
1780261093162	14	0	0x00	327	1	-
1780261093162	15	0	0x00	90	1	-
1780261093162	16	0	0x00	70	1	-
1780261093162	17	0	0x00	90	1	-
1780261093172	0	0	0x08	101	1	-
1780261093172	1	0	0x08	101	1	-
1780261093172	2	0	0x08	348	1	-
1780261093172	3	0	0x08	111	1	-
1780261093173	4	0	0x08	91	1	-
1780261093173	5	0	0x08	111	1	-
1780261093173	6	0	0x0b	48	1	-
1780261093173	7	0	0x0b	48	1	-
1780261093173	8	0	0x0b	287	1	-
1780261093173	9	0	0x0b	66	1	-
1780261093173	10	0	0x0b	30	1	-
1780261093173	11	0	0x0b	58	1	-
1780261093173	12	0	0x00	80	1	-
1780261093173	13	0	0x00	80	1	-
1780261093173	14	0	0x00	327	1	-
1780261093173	15	0	0x00	90	1	-
1780261093173	16	0	0x00	70	1	-
1780261093173	17	0	0x00	90	1	-
1780261093183	0	0	0x08	101	1	-
1780261093183	1	0	0x08	101	1	-
1780261093183	2	0	0x08	348	1	-
1780261093183	3	0	0x08	111	1	-
1780261093183	4	0	0x08	91	1	-
1780261093183	5	0	0x08	111	1	-
1780261093183	6	0	0x0b	48	1	-
1780261093183	7	0	0x0b	48	1	-
1780261093183	8	0	0x0b	287	1	-
1780261093183	9	0	0x0b	66	1	-
1780261093183	10	0	0x0b	30	1	-
1780261093183	11	0	0x0b	58	1	-
1780261093183	12	0	0x00	80	1	-
1780261093183	13	0	0x00	80	1	-
1780261093183	14	0	0x00	327	1	-
1780261093183	15	0	0x00	90	1	-
1780261093183	16	0	0x00	70	1	-
1780261093183	17	0	0x00	90	1	-
1780261093193	0	0	0x08	101	1	-
1780261093193	1	0	0x08	101	1	-
1780261093193	2	0	0x08	348	1	-
1780261093193	3	0	0x08	111	1	-
1780261093193	4	0	0x08	91	1	-
1780261093193	5	0	0x08	111	1	-
1780261093193	6	0	0x0b	48	1	-
1780261093193	7	0	0x0b	48	1	-
1780261093193	8	0	0x0b	287	1	-
1780261093193	9	0	0x0b	66	1	-
1780261093193	10	0	0x0b	30	1	-
